region	count	region_length	name
chr6:29722021-29723114	2	1093	chr6-29722021-29723114
chr6:29730727-29731727	1	1000	chr6-29730727-29731727
chr6:29736718-29737718	1	1000	chr6-29736718-29737718
chr6:29746486-29747927	2	1441	chr6-29746486-29747927
chr6:29753892-29754892	1	1000	chr6-29753892-29754892
chr6:29755703-29756709	2	1006	chr6-29755703-29756709
chr6:29760613-29761613	1	1000	chr6-29760613-29761613
chr6:29773402-29774402	1	1000	chr6-29773402-29774402
chr6:29795035-29796094	5	1059	chr6-29795035-29796094
chr6:29830928-29831928	1	1000	chr6-29830928-29831928
chr6:29836527-29837527	1	1000	chr6-29836527-29837527
chr6:29838186-29839189	2	1003	chr6-29838186-29839189
chr6:29843760-29844760	1	1000	chr6-29843760-29844760
chr6:29856363-29857363	1	1000	chr6-29856363-29857363
chr6:29860921-29861921	1	1000	chr6-29860921-29861921
chr6:29862662-29863662	1	1000	chr6-29862662-29863662
chr6:29873945-29874945	1	1000	chr6-29873945-29874945
chr6:29875066-29876084	2	1018	chr6-29875066-29876084
chr6:29885127-29886127	1	1000	chr6-29885127-29886127
chr6:29886692-29887693	2	1001	chr6-29886692-29887693
chr6:29894869-29895869	1	1000	chr6-29894869-29895869
chr6:29902041-29903843	3	1802	chr6-29902041-29903843
chr6:29914637-29915637	1	1000	chr6-29914637-29915637
chr6:29918852-29919866	2	1014	chr6-29918852-29919866
chr6:29927561-29928561	1	1000	chr6-29927561-29928561
chr6:29934295-29935305	2	1010	chr6-29934295-29935305
chr6:29935418-29936597	3	1179	chr6-29935418-29936597
chr6:29940102-29941102	1	1000	chr6-29940102-29941102
chr6:29947685-29948685	1	1000	chr6-29947685-29948685
chr6:29949097-29950097	1	1000	chr6-29949097-29950097
chr6:29952645-29954230	2	1585	chr6-29952645-29954230
chr6:29965664-29966664	1	1000	chr6-29965664-29966664
chr6:29968342-29969342	1	1000	chr6-29968342-29969342
chr6:29973058-29974060	2	1002	chr6-29973058-29974060
chr6:29980016-29981016	1	1000	chr6-29980016-29981016
chr6:30021797-30022797	1	1000	chr6-30021797-30022797
chr6:30025774-30026774	1	1000	chr6-30025774-30026774
chr6:30026916-30027916	1	1000	chr6-30026916-30027916
chr6:30049094-30050094	1	1000	chr6-30049094-30050094
chr6:30050239-30051239	1	1000	chr6-30050239-30051239
chr6:30051289-30052975	2	1686	chr6-30051289-30052975
chr6:30062043-30063214	2	1171	chr6-30062043-30063214
chr6:30086180-30087180	1	1000	chr6-30086180-30087180
chr6:30087943-30088943	1	1000	chr6-30087943-30088943
chr6:30094312-30095312	1	1000	chr6-30094312-30095312
chr6:30095876-30096876	1	1000	chr6-30095876-30096876
chr6:30098575-30099575	1	1000	chr6-30098575-30099575
chr6:30108059-30109059	1	1000	chr6-30108059-30109059
chr6:30120242-30121242	1	1000	chr6-30120242-30121242
chr6:30134716-30135716	1	1000	chr6-30134716-30135716
chr6:30138839-30139839	1	1000	chr6-30138839-30139839
chr6:30157157-30158157	1	1000	chr6-30157157-30158157
chr6:30162431-30163431	1	1000	chr6-30162431-30163431
chr6:30180033-30181033	1	1000	chr6-30180033-30181033
chr6:30183468-30184468	1	1000	chr6-30183468-30184468
